"psc_plugin";"Pimcore Salesforce Connecter"
"psc_plugin_cnf";""
"psc_add_channel";"Add New Mapping"
"psc_my_mapping";"Mapping"
"psc_input_title";"Add a new mapping"
"psc_input_label";"Enter the name of new mapping"
"psc_name_already_in_use";"Mapping already exist"
"psc_invalid_name";"Invalid name. Only alphabets (a-z A-Z), numbers (0-9), and special characters (_.-~) are allowed"
"psc_key_required";"Mapiing key/name is required"
"psc_channel_name_append_msg1";"Mapping name"
"psc_channel_name_append_msg2";""
"psc_basic_configuration";"Basic Configuration"
"psc_basic_config_saved_successfully";"Config Saved Successfully"
"psc_select_salesforce_object";"Salesforce Objects"
"psc_select_pimcore_class";"Pimcore Classes"
"psc_select_pim_unique_field";"Pimcore Unique Field"
"psc_select_sf_unique_field";"Salesforce Unique Field"
"psc_select_field_for_sf_id";"Field for SF Id"
"psc_failure";"Failure"
"psc_field_is_required";"Field is required"
"psc_column_configuration";"Column Configuration"
"psc_reset_mapping";"Reset Mapping"
"psc_import_header";"Import Header"
"psc_read_column";"Reading Columns ...."
"psc_attribute_mapping";"Attribute Mapping"
"psc_source";"Pimcore Attributes"
"psc_destination";"Target Attributes"
"psc_mapping_save_success";"Column Configuration saved"
"psc_mapping_saveerror";"Column Configuration could not be saved"
"psc_success";"Success"
